url	chapt_title	img_path
https://datatrail-jhu.github.io/DataTrail_Template/no_toc/index.html	About this Course	resources/chapt_screen_images/index.png
https://datatrail-jhu.github.io/DataTrail_Template/no_toc/introduction.html	1 Introduction	resources/chapt_screen_images/introduction.png
https://datatrail-jhu.github.io/DataTrail_Template/no_toc/a-new-chapter.html	2 A new chapter	resources/chapt_screen_images/a-new-chapter.png
https://datatrail-jhu.github.io/DataTrail_Template/no_toc/topic-of-section.html	3 Topic of Section	resources/chapt_screen_images/topic-of-section.png
https://datatrail-jhu.github.io/DataTrail_Template/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://datatrail-jhu.github.io/DataTrail_Template/no_toc/references.html	4 References	resources/chapt_screen_images/references.png
